    [17355013] = {['id']=17355013, ['name']="SurvivalGuide", ['index']=261, ['level']=0},
    [17354769] = {['id']=17354769, ['name']="OrcishGrappler", ['index']=17, ['level']=10},
    [17354792] = {['id']=17354792, ['name']="OrcishMesmeriz", ['index']=40, ['level']=9},
    [17354796] = {['id']=17354796, ['name']="OrcishGrappler", ['index']=44, ['level']=10},
    [17354777] = {['id']=17354777, ['name']="OrcishGrappler", ['index']=25, ['level']=8},
    [17354772] = {['id']=17354772, ['name']="OrcishFodder", ['index']=20, ['level']=9},
    [17354773] = {['id']=17354773, ['name']="OrcishMesmeriz", ['index']=21, ['level']=9},
    [17354774] = {['id']=17354774, ['name']="OrcishGrappler", ['index']=22, ['level']=8},
    [17354787] = {['id']=17354787, ['name']="OrcishGrappler", ['index']=35, ['level']=9},
    [17354785] = {['id']=17354785, ['name']="OrcishFodder", ['index']=33, ['level']=8},
    [17354782] = {['id']=17354782, ['name']="OrcishMesmeriz", ['index']=30, ['level']=10},
    [17354780] = {['id']=17354780, ['name']="OrcishGrappler", ['index']=28, ['level']=8},
    [17354779] = {['id']=17354779, ['name']="OrcishMesmeriz", ['index']=27, ['level']=10},
    [17354793] = {['id']=17354793, ['name']="OrcishGrappler", ['index']=41, ['level']=8},
    [17354816] = {['id']=17354816, ['name']="OrcishFodder", ['index']=64, ['level']=9},
    [17354817] = {['id']=17354817, ['name']="OrcishMesmeriz", ['index']=65, ['level']=9},
    [17354830] = {['id']=17354830, ['name']="OrcishMesmeriz", ['index']=78, ['level']=9},
    [17354834] = {['id']=17354834, ['name']="OrcishGrappler", ['index']=82, ['level']=8},
    [17354832] = {['id']=17354832, ['name']="OrcishFodder", ['index']=80, ['level']=8},
    [17354815] = {['id']=17354815, ['name']="OrcishFlamethr", ['index']=63, ['level']=18},
    [17354763] = {['id']=17354763, ['name']="OrcishGrappler", ['index']=11, ['level']=10},
    [17354797] = {['id']=17354797, ['name']="OrcishFodder", ['index']=45, ['level']=10},
    [17354810] = {['id']=17354810, ['name']="OrcishMesmeriz", ['index']=58, ['level']=9},
    [17354761] = {['id']=17354761, ['name']="OrcishFodder", ['index']=9, ['level']=9},
    [17354814] = {['id']=17354814, ['name']="OrcishGrappler", ['index']=62, ['level']=10},
    [17354799] = {['id']=17354799, ['name']="OrcishGrappler", ['index']=47, ['level']=9},
    [17354808] = {['id']=17354808, ['name']="OrcishGrappler", ['index']=56, ['level']=8},
    [17354803] = {['id']=17354803, ['name']="OrcishFodder", ['index']=51, ['level']=8},
    [17354758] = {['id']=17354758, ['name']="OrcishFodder", ['index']=6, ['level']=8},
    [17354836] = {['id']=17354836, ['name']="OrcishStonechu", ['index']=84, ['level']=13},
    [17354835] = {['id']=17354835, ['name']="OrcishGrunt", ['index']=83, ['level']=13},
    [17354837] = {['id']=17354837, ['name']="OrcishNeckchop", ['index']=85, ['level']=11},
    [17354839] = {['id']=17354839, ['name']="OrcishStonechu", ['index']=87, ['level']=12},
    [17354843] = {['id']=17354843, ['name']="OrcishStonechu", ['index']=91, ['level']=12},
    [17354848] = {['id']=17354848, ['name']="OrcishStonechu", ['index']=96, ['level']=11},
    [17354844] = {['id']=17354844, ['name']="OrcishGrunt", ['index']=92, ['level']=13},
    [17354867] = {['id']=17354867, ['name']="OrcishStonechu", ['index']=115, ['level']=12},
    [17354856] = {['id']=17354856, ['name']="OrcishGrunt", ['index']=104, ['level']=13},
    [17354845] = {['id']=17354845, ['name']="OrcishStonechu", ['index']=93, ['level']=11},
    [17354846] = {['id']=17354846, ['name']="OrcishNeckchop", ['index']=94, ['level']=12},
    [17354860] = {['id']=17354860, ['name']="OrcishStonechu", ['index']=108, ['level']=11},
    [17354858] = {['id']=17354858, ['name']="OrcishNeckchop", ['index']=106, ['level']=11},
    [17354864] = {['id']=17354864, ['name']="OrcishStonechu", ['index']=112, ['level']=12},
    [17354865] = {['id']=17354865, ['name']="OrcishFighter", ['index']=113, ['level']=21},
    [17354857] = {['id']=17354857, ['name']="OrcishStonechu", ['index']=105, ['level']=12},
    [17354868] = {['id']=17354868, ['name']="OrcishNeckchop", ['index']=116, ['level']=12},
    [17354866] = {['id']=17354866, ['name']="OrcishGrunt", ['index']=114, ['level']=12},
