    [17867043] = {['id']=17867043, ['name']="Hurkan", ['index']=291, ['level']=116},
    [17867048] = {['id']=17867048, ['name']="IronclawTulfai", ['index']=296, ['level']=113},
    [17867051] = {['id']=17867051, ['name']="BreezewingVult", ['index']=299, ['level']=113},
    [17867052] = {['id']=17867052, ['name']="BreezewingVult", ['index']=300, ['level']=113},
    [17867049] = {['id']=17867049, ['name']="IronclawTulfai", ['index']=297, ['level']=113},
    [17867054] = {['id']=17867054, ['name']="BreezewingVult", ['index']=302, ['level']=113},
    [17867044] = {['id']=17867044, ['name']="StonefacedRoc", ['index']=292, ['level']=114},
    [17867047] = {['id']=17867047, ['name']="IronclawTulfai", ['index']=295, ['level']=113},
    [17867046] = {['id']=17867046, ['name']="IronclawTulfai", ['index']=294, ['level']=113},
    [17867050] = {['id']=17867050, ['name']="BreezewingVult", ['index']=298, ['level']=113},
    [17867045] = {['id']=17867045, ['name']="StonefacedRoc", ['index']=293, ['level']=114},
    [17867053] = {['id']=17867053, ['name']="BreezewingVult", ['index']=301, ['level']=113},
