    [17138521] = {['id']=17138521, ['name']="GateSentry", ['index']=857, ['level']=75},
    [17138612] = {['id']=17138612, ['name']="SurvivalGuide", ['index']=948, ['level']=0},
    [17138012] = {['id']=17138012, ['name']="RockLizard", ['index']=348, ['level']=22},
    [17138013] = {['id']=17138013, ['name']="RockLizard", ['index']=349, ['level']=22},
    [17138015] = {['id']=17138015, ['name']="RockLizard", ['index']=351, ['level']=23},
    [17138039] = {['id']=17138039, ['name']="GoblinSkirmish", ['index']=375, ['level']=56},
    [17138016] = {['id']=17138016, ['name']="LesserWivre", ['index']=352, ['level']=46},
    [17138014] = {['id']=17138014, ['name']="RockLizard", ['index']=350, ['level']=24},
    [17138040] = {['id']=17138040, ['name']="GoblinMine", ['index']=376, ['level']=51},
    [17138018] = {['id']=17138018, ['name']="LesserWivre", ['index']=354, ['level']=46},
    [17138017] = {['id']=17138017, ['name']="RockLizard", ['index']=353, ['level']=24},
    [17138019] = {['id']=17138019, ['name']="LesserWivre", ['index']=355, ['level']=45},
    [17138023] = {['id']=17138023, ['name']="Drachenlizard", ['index']=359, ['level']=94},
    [17138025] = {['id']=17138025, ['name']="Drachenlizard", ['index']=361, ['level']=92},
    [17138027] = {['id']=17138027, ['name']="Drachenlizard", ['index']=363, ['level']=93},
    [17138024] = {['id']=17138024, ['name']="Drachenlizard", ['index']=360, ['level']=93},
    [17138022] = {['id']=17138022, ['name']="Drachenlizard", ['index']=358, ['level']=93},
    [17138020] = {['id']=17138020, ['name']="Drachenlizard", ['index']=356, ['level']=92},
    [17138021] = {['id']=17138021, ['name']="Drachenlizard", ['index']=357, ['level']=94},
    [17138026] = {['id']=17138026, ['name']="Drachenlizard", ['index']=362, ['level']=93},
    [17138034] = {['id']=17138034, ['name']="Drachenlizard", ['index']=370, ['level']=93},
    [17138028] = {['id']=17138028, ['name']="Drachenlizard", ['index']=364, ['level']=93},
    [17138031] = {['id']=17138031, ['name']="Drachenlizard", ['index']=367, ['level']=93},
    [17138030] = {['id']=17138030, ['name']="Drachenlizard", ['index']=366, ['level']=92},
    [17138033] = {['id']=17138033, ['name']="Drachenlizard", ['index']=369, ['level']=92},
    [17138032] = {['id']=17138032, ['name']="Drachenlizard", ['index']=368, ['level']=93},
    [17138029] = {['id']=17138029, ['name']="Drachenlizard", ['index']=365, ['level']=93},
    [17137984] = {['id']=17137984, ['name']="LesserWivre", ['index']=320, ['level']=46},
    [17137986] = {['id']=17137986, ['name']="LesserWivre", ['index']=322, ['level']=46},
    [17137989] = {['id']=17137989, ['name']="AmethystQuadav", ['index']=325, ['level']=63},
    [17137992] = {['id']=17137992, ['name']="AmberQuadav", ['index']=328, ['level']=63},
    [17137988] = {['id']=17137988, ['name']="CopperQuadav", ['index']=324, ['level']=64},
    [17137964] = {['id']=17137964, ['name']="StoneEater", ['index']=300, ['level']=18},
    [17137965] = {['id']=17137965, ['name']="RockLizard", ['index']=301, ['level']=23},
    [17137966] = {['id']=17137966, ['name']="RockLizard", ['index']=302, ['level']=24},
    [17137985] = {['id']=17137985, ['name']="RockLizard", ['index']=321, ['level']=24},
    [17137962] = {['id']=17137962, ['name']="StoneEater", ['index']=298, ['level']=18},
    [17137983] = {['id']=17137983, ['name']="LesserWivre", ['index']=319, ['level']=48},
    [17137963] = {['id']=17137963, ['name']="RockLizard", ['index']=299, ['level']=22},
    [17137991] = {['id']=17137991, ['name']="YoungQuadav", ['index']=327, ['level']=63},
    [17137990] = {['id']=17137990, ['name']="LesserWivre", ['index']=326, ['level']=48},
    [17137996] = {['id']=17137996, ['name']="Drachenlizard", ['index']=332, ['level']=94},
    [17137994] = {['id']=17137994, ['name']="Drachenlizard", ['index']=330, ['level']=93},
    [17137993] = {['id']=17137993, ['name']="Drachenlizard", ['index']=329, ['level']=93},
    [17137995] = {['id']=17137995, ['name']="Drachenlizard", ['index']=331, ['level']=92},
    [17137997] = {['id']=17137997, ['name']="Drachenlizard", ['index']=333, ['level']=94},
    [17138002] = {['id']=17138002, ['name']="Drachenlizard", ['index']=338, ['level']=92},
    [17137998] = {['id']=17137998, ['name']="Drachenlizard", ['index']=334, ['level']=92},
    [17137999] = {['id']=17137999, ['name']="Drachenlizard", ['index']=335, ['level']=92},
    [17138000] = {['id']=17138000, ['name']="Drachenlizard", ['index']=336, ['level']=92},
    [17138001] = {['id']=17138001, ['name']="Drachenlizard", ['index']=337, ['level']=94},
    [17138006] = {['id']=17138006, ['name']="Drachenlizard", ['index']=342, ['level']=92},
    [17138005] = {['id']=17138005, ['name']="Drachenlizard", ['index']=341, ['level']=93},
    [17138007] = {['id']=17138007, ['name']="Drachenlizard", ['index']=343, ['level']=94},
    [17138003] = {['id']=17138003, ['name']="Drachenlizard", ['index']=339, ['level']=94},
    [17138004] = {['id']=17138004, ['name']="Drachenlizard", ['index']=340, ['level']=93},
    [17138009] = {['id']=17138009, ['name']="RockLizard", ['index']=345, ['level']=22},
    [17138008] = {['id']=17138008, ['name']="RockLizard", ['index']=344, ['level']=24},
    [17137955] = {['id']=17137955, ['name']="RockLizard", ['index']=291, ['level']=22},
    [17137954] = {['id']=17137954, ['name']="RockLizard", ['index']=290, ['level']=21},
    [17137953] = {['id']=17137953, ['name']="StoneEater", ['index']=289, ['level']=21},
    [17137956] = {['id']=17137956, ['name']="StoneEater", ['index']=292, ['level']=19},
    [17137958] = {['id']=17137958, ['name']="RockLizard", ['index']=294, ['level']=22},
    [17137957] = {['id']=17137957, ['name']="RockLizard", ['index']=293, ['level']=23},
    [17137951] = {['id']=17137951, ['name']="RockLizard", ['index']=287, ['level']=22},
    [17137981] = {['id']=17137981, ['name']="RockLizard", ['index']=317, ['level']=22},
    [17137982] = {['id']=17137982, ['name']="RockLizard", ['index']=318, ['level']=21},
    [17137960] = {['id']=17137960, ['name']="RockLizard", ['index']=296, ['level']=22},
    [17137959] = {['id']=17137959, ['name']="StoneEater", ['index']=295, ['level']=18},
    [17137961] = {['id']=17137961, ['name']="RockLizard", ['index']=297, ['level']=22},
    [17137952] = {['id']=17137952, ['name']="RockLizard", ['index']=288, ['level']=24},
