    [16892185] = {['id']=16892185, ['name']="SurvivalGuide", ['index']=281, ['level']=0},
    [16891912] = {['id']=16891912, ['name']="GreaterGaylas", ['index']=8, ['level']=47},
    [16891909] = {['id']=16891909, ['name']="Gazer", ['index']=5, ['level']=50},
    [16891911] = {['id']=16891911, ['name']="Stegotaur", ['index']=7, ['level']=47},
    [16891906] = {['id']=16891906, ['name']="Gazer", ['index']=2, ['level']=50},
    [16891905] = {['id']=16891905, ['name']="Gazer", ['index']=1, ['level']=48},
    [16891908] = {['id']=16891908, ['name']="Stegotaur", ['index']=4, ['level']=48},
    [16892079] = {['id']=16892079, ['name']="AqueductSpider", ['index']=175, ['level']=86},
    [16891907] = {['id']=16891907, ['name']="GreaterGaylas", ['index']=3, ['level']=48},
    [16892075] = {['id']=16892075, ['name']="AqueductSpider", ['index']=171, ['level']=85},
    [16892076] = {['id']=16892076, ['name']="AqueductSpider", ['index']=172, ['level']=84},
    [16892077] = {['id']=16892077, ['name']="AqueductSpider", ['index']=173, ['level']=86},
    [16892081] = {['id']=16892081, ['name']="AqueductSpider", ['index']=177, ['level']=86},
    [16892080] = {['id']=16892080, ['name']="AqueductSpider", ['index']=176, ['level']=86},
    [16892078] = {['id']=16892078, ['name']="AqueductSpider", ['index']=174, ['level']=86},
    [16891919] = {['id']=16891919, ['name']="Lich", ['index']=15, ['level']=54},
    [16891918] = {['id']=16891918, ['name']="Mummy", ['index']=14, ['level']=54},
    [16891913] = {['id']=16891913, ['name']="Mummy", ['index']=9, ['level']=54},
    [16891915] = {['id']=16891915, ['name']="Lich", ['index']=11, ['level']=56},
    [16891942] = {['id']=16891942, ['name']="Utukku", ['index']=38, ['level']=55},
    [16891917] = {['id']=16891917, ['name']="Lich", ['index']=13, ['level']=55},
    [16891916] = {['id']=16891916, ['name']="Mummy", ['index']=12, ['level']=56},
    [16891924] = {['id']=16891924, ['name']="Lich", ['index']=20, ['level']=55},
    [16891925] = {['id']=16891925, ['name']="BlubberEyes", ['index']=21, ['level']=59},
    [16891928] = {['id']=16891928, ['name']="Mummy", ['index']=24, ['level']=54},
    [16891926] = {['id']=16891926, ['name']="Mummy", ['index']=22, ['level']=54},
    [16891927] = {['id']=16891927, ['name']="BlubberEyes", ['index']=23, ['level']=58},
    [16891929] = {['id']=16891929, ['name']="Lich", ['index']=25, ['level']=55},
    [16891932] = {['id']=16891932, ['name']="Lich", ['index']=28, ['level']=54},
    [16891933] = {['id']=16891933, ['name']="BlubberEyes", ['index']=29, ['level']=59},
    [16891922] = {['id']=16891922, ['name']="Lich", ['index']=18, ['level']=56},
    [16891921] = {['id']=16891921, ['name']="Lich", ['index']=17, ['level']=55},
    [16891950] = {['id']=16891950, ['name']="Stegotaur", ['index']=46, ['level']=49},
    [16891940] = {['id']=16891940, ['name']="Mummy", ['index']=36, ['level']=56},
    [16891939] = {['id']=16891939, ['name']="Lich", ['index']=35, ['level']=55},
    [16891947] = {['id']=16891947, ['name']="Utukku", ['index']=43, ['level']=55},
    [16891941] = {['id']=16891941, ['name']="Lich", ['index']=37, ['level']=55},
    [16891938] = {['id']=16891938, ['name']="Lich", ['index']=34, ['level']=54},
    [16891937] = {['id']=16891937, ['name']="Mummy", ['index']=33, ['level']=56},
