    [16875626] = {['id']=16875626, ['name']="VampireBat", ['index']=106, ['level']=43},
    [16875628] = {['id']=16875628, ['name']="Wingrats", ['index']=108, ['level']=44},
    [16875630] = {['id']=16875630, ['name']="Abraxas", ['index']=110, ['level']=86},
    [16875631] = {['id']=16875631, ['name']="Abraxas", ['index']=111, ['level']=85},
    [16875632] = {['id']=16875632, ['name']="Abraxas", ['index']=112, ['level']=86},
    [16875633] = {['id']=16875633, ['name']="Abraxas", ['index']=113, ['level']=86},
    [16875636] = {['id']=16875636, ['name']="Abraxas", ['index']=116, ['level']=85},
    [16875641] = {['id']=16875641, ['name']="Abraxas", ['index']=121, ['level']=85},
    [16875653] = {['id']=16875653, ['name']="TavnazianRam", ['index']=133, ['level']=82},
    [16875635] = {['id']=16875635, ['name']="Abraxas", ['index']=115, ['level']=86},
    [16875634] = {['id']=16875634, ['name']="Abraxas", ['index']=114, ['level']=86},
    [16875637] = {['id']=16875637, ['name']="Abraxas", ['index']=117, ['level']=86},
    [16875639] = {['id']=16875639, ['name']="Abraxas", ['index']=119, ['level']=85},
    [16875642] = {['id']=16875642, ['name']="Abraxas", ['index']=122, ['level']=85},
    [16875640] = {['id']=16875640, ['name']="Abraxas", ['index']=120, ['level']=85},
