    [16892185] = {['id']=16892185, ['name']="SurvivalGuide", ['index']=281, ['level']=0},
    [16891911] = {['id']=16891911, ['name']="Stegotaur", ['index']=7, ['level']=49},
    [16891909] = {['id']=16891909, ['name']="Gazer", ['index']=5, ['level']=50},
    [16891910] = {['id']=16891910, ['name']="Stegotaur", ['index']=6, ['level']=49},
    [16891912] = {['id']=16891912, ['name']="GreaterGaylas", ['index']=8, ['level']=46},
    [16891907] = {['id']=16891907, ['name']="GreaterGaylas", ['index']=3, ['level']=46},
    [16891905] = {['id']=16891905, ['name']="Gazer", ['index']=1, ['level']=49},
    [16891906] = {['id']=16891906, ['name']="Gazer", ['index']=2, ['level']=48},
    [16892076] = {['id']=16892076, ['name']="AqueductSpider", ['index']=172, ['level']=85},
    [16892077] = {['id']=16892077, ['name']="AqueductSpider", ['index']=173, ['level']=85},
    [16892078] = {['id']=16892078, ['name']="AqueductSpider", ['index']=174, ['level']=85},
    [16892079] = {['id']=16892079, ['name']="AqueductSpider", ['index']=175, ['level']=86},
    [16892075] = {['id']=16892075, ['name']="AqueductSpider", ['index']=171, ['level']=86},
    [16892080] = {['id']=16892080, ['name']="AqueductSpider", ['index']=176, ['level']=85},
    [16892081] = {['id']=16892081, ['name']="AqueductSpider", ['index']=177, ['level']=84},
    [16891913] = {['id']=16891913, ['name']="Mummy", ['index']=9, ['level']=55},
    [16891915] = {['id']=16891915, ['name']="Lich", ['index']=11, ['level']=54},
    [16891916] = {['id']=16891916, ['name']="Mummy", ['index']=12, ['level']=54},
    [16891917] = {['id']=16891917, ['name']="Lich", ['index']=13, ['level']=54},
    [16891918] = {['id']=16891918, ['name']="Mummy", ['index']=14, ['level']=55},
    [16891919] = {['id']=16891919, ['name']="Lich", ['index']=15, ['level']=56},
    [16891942] = {['id']=16891942, ['name']="Utukku", ['index']=38, ['level']=55},
    [16891922] = {['id']=16891922, ['name']="Lich", ['index']=18, ['level']=56},
    [16891921] = {['id']=16891921, ['name']="Lich", ['index']=17, ['level']=55},
    [16891928] = {['id']=16891928, ['name']="Mummy", ['index']=24, ['level']=56},
    [16891930] = {['id']=16891930, ['name']="BlubberEyes", ['index']=26, ['level']=57},
    [16891946] = {['id']=16891946, ['name']="Utukku", ['index']=42, ['level']=55},
    [16891924] = {['id']=16891924, ['name']="Lich", ['index']=20, ['level']=55},
    [16891923] = {['id']=16891923, ['name']="Mummy", ['index']=19, ['level']=56},
    [16891933] = {['id']=16891933, ['name']="BlubberEyes", ['index']=29, ['level']=59},
    [16891932] = {['id']=16891932, ['name']="Lich", ['index']=28, ['level']=54},
    [16891926] = {['id']=16891926, ['name']="Mummy", ['index']=22, ['level']=56},
    [16891927] = {['id']=16891927, ['name']="BlubberEyes", ['index']=23, ['level']=59},
    [16891949] = {['id']=16891949, ['name']="Stegotaur", ['index']=45, ['level']=47},
    [16891938] = {['id']=16891938, ['name']="Lich", ['index']=34, ['level']=56},
    [16891934] = {['id']=16891934, ['name']="Mummy", ['index']=30, ['level']=54},
    [16891935] = {['id']=16891935, ['name']="Lich", ['index']=31, ['level']=55},
    [16891937] = {['id']=16891937, ['name']="Mummy", ['index']=33, ['level']=55},
    [16891936] = {['id']=16891936, ['name']="Mummy", ['index']=32, ['level']=56},
    [16891939] = {['id']=16891939, ['name']="Lich", ['index']=35, ['level']=54},
    [16891951] = {['id']=16891951, ['name']="FomorRanger", ['index']=47, ['level']=56},
    [16891952] = {['id']=16891952, ['name']="FomorNinja", ['index']=48, ['level']=54},
    [16891953] = {['id']=16891953, ['name']="FomorBard", ['index']=49, ['level']=56},
    [16891973] = {['id']=16891973, ['name']="FomorRanger", ['index']=69, ['level']=56},
    [16891956] = {['id']=16891956, ['name']="FomorRanger", ['index']=52, ['level']=56},
    [16891955] = {['id']=16891955, ['name']="Fomor\'sWyvern", ['index']=51, ['level']=50},
    [16891954] = {['id']=16891954, ['name']="FomorDragoon", ['index']=50, ['level']=56},
    [16891987] = {['id']=16891987, ['name']="FomorRanger", ['index']=83, ['level']=56},
    [16891982] = {['id']=16891982, ['name']="FomorWarrior", ['index']=78, ['level']=55},
    [16891978] = {['id']=16891978, ['name']="FomorSamurai", ['index']=74, ['level']=56},
    [16891977] = {['id']=16891977, ['name']="FomorRanger", ['index']=73, ['level']=56},
    [16891985] = {['id']=16891985, ['name']="FomorWarrior", ['index']=81, ['level']=56},
    [16891986] = {['id']=16891986, ['name']="FomorThief", ['index']=82, ['level']=55},
    [16891974] = {['id']=16891974, ['name']="FomorSamurai", ['index']=70, ['level']=55},
    [16891975] = {['id']=16891975, ['name']="FomorDragoon", ['index']=71, ['level']=56},
    [16891981] = {['id']=16891981, ['name']="GreaterGaylas", ['index']=77, ['level']=47},
    [16891976] = {['id']=16891976, ['name']="Fomor\'sWyvern", ['index']=72, ['level']=50},
    [16891980] = {['id']=16891980, ['name']="Fomor\'sWyvern", ['index']=76, ['level']=51},
    [16891979] = {['id']=16891979, ['name']="FomorDragoon", ['index']=75, ['level']=55},
    [16891984] = {['id']=16891984, ['name']="FomorRanger", ['index']=80, ['level']=56},
    [16891988] = {['id']=16891988, ['name']="GreaterGaylas", ['index']=84, ['level']=47},
    [16891983] = {['id']=16891983, ['name']="FomorThief", ['index']=79, ['level']=55},
